theta,U,V,name,n,s,succes_rate
0.1871899278769268,1,12,beta_1_12,48,10,0.20833333333333334
0.2932243552640917,2,12,beta_2_12,29,6,0.20689655172413793
0.41059592479257095,3,12,beta_3_12,13,4,0.3076923076923077
0.4883504156316602,4,12,beta_4_12,18,4,0.2222222222222222
0.5144927440981721,5,12,beta_5_12,61,38,0.6229508196721312
0.6721248147459697,6,12,beta_6_12,49,35,0.7142857142857143
0.5819640463743296,7,12,beta_7_12,40,26,0.65
0.6397806151764974,8,12,beta_8_12,58,34,0.5862068965517241
0.09666109553949823,1,13,beta_1_13,55,3,0.05454545454545454
0.22467076178104994,2,13,beta_2_13,54,10,0.18518518518518517
0.3938667646249431,3,13,beta_3_13,26,12,0.46153846153846156
0.5829572111260232,4,13,beta_4_13,42,27,0.6428571428571429
0.2491537295722725,5,13,beta_5_13,90,22,0.24444444444444444
0.47578068187958683,6,13,beta_6_13,132,61,0.4621212121212121
0.4208086547793219,7,13,beta_7_13,44,19,0.4318181818181818
0.6725969062455596,8,13,beta_8_13,138,95,0.6884057971014492
0.12272738537695749,1,14,beta_1_14,115,15,0.13043478260869565
0.2441249531651204,2,14,beta_2_14,153,37,0.24183006535947713
0.3964407265585438,3,14,beta_3_14,62,27,0.43548387096774194
0.5783158514263779,4,14,beta_4_14,97,59,0.6082474226804123
0.18107908951052837,5,14,beta_5_14,208,34,0.16346153846153846
0.39703833847460746,6,14,beta_6_14,275,105,0.38181818181818183
0.42587282805266985,7,14,beta_7_14,91,40,0.43956043956043955
0.63129384061307,8,14,beta_8_14,318,202,0.6352201257861635
0.10581541164326246,1,15,beta_1_15,61,6,0.09836065573770492
0.22203817882563734,2,15,beta_2_15,52,10,0.19230769230769232
0.3090315028586012,3,15,beta_3_15,29,8,0.27586206896551724
0.5322391782956031,4,15,beta_4_15,50,28,0.56
0.24755711579103987,5,15,beta_5_15,76,19,0.25
0.5524280832128697,6,15,beta_6_15,145,82,0.5655172413793104
0.3674581870430368,7,15,beta_7_15,54,19,0.35185185185185186
0.6061723702811289,8,15,beta_8_15,181,110,0.6077348066298343
0.16400032411770657,1,16,beta_1_16,62,10,0.16129032258064516
0.3790102426059934,2,16,beta_2_16,81,32,0.3950617283950617
0.42827503142445006,3,16,beta_3_16,29,12,0.41379310344827586
0.5827790330215689,4,16,beta_4_16,55,31,0.5636363636363636
0.3837776460324828,5,16,beta_5_16,68,28,0.4117647058823529
0.6492428501087095,6,16,beta_6_16,144,95,0.6597222222222222
0.43446836092608837,7,16,beta_7_16,36,13,0.3611111111111111
0.71186845409961,8,16,beta_8_16,154,110,0.7142857142857143
0.03438743477472714,1,17,beta_1_17,121,4,0.03305785123966942
0.08871735697122371,2,17,beta_2_17,89,8,0.0898876404494382
0.1122121030463124,3,17,beta_3_17,38,3,0.07894736842105263
0.21321022397549477,4,17,beta_4_17,44,9,0.20454545454545456
0.06630969937608801,5,17,beta_5_17,171,9,0.05263157894736842
0.27193613082881435,6,17,beta_6_17,200,57,0.285
0.13812002520104547,7,17,beta_7_17,89,11,0.12359550561797752
0.32702159318874013,8,17,beta_8_17,219,73,0.3333333333333333
